0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
-0.14887457,-0.3445812,0.26325133,-0.41200328,-0.8518472,0.09887714,-0.6056257,-0.22861466,-0.16757864,0.5161472,0.23791341,0.20703495,0.7454269,-0.33349502,-0.19438903,0.020244507,-0.07249808,0.015455404,0.5526213,-0.44882768,-0.1404298,-0.62245667,-0.10840801,-0.28734833,-0.4987686,0.58347934,-0.32507542,-1.4193547,0.43728235,-0.25797302,-0.17331654,-0.8487398,0.33549222,-1.112154,-0.3210536,-0.36613822,0.023202246,-1.4003907,-0.41546434,-0.28716713,-0.43246332,-1.07382,0.836875
-0.2983492,0.17252733,0.07707626,-0.41538864,-0.16775607,0.07742038,0.16936167,0.08412063,-0.4197675,0.042050127,-0.30560496,0.32143936,-0.4913503,0.1405209,0.1492919,-0.71038806,0.025149666,0.18859378,-0.06292841,-0.08514269,-0.115508035,-0.20333499,0.08935082,-0.02512152,-1.2276103,-0.24217911,-0.4293375,0.003278326,-0.4012139,-0.25327456,-0.2980605,-0.16946924,-0.69983196,-0.09366161,-0.27452397,-0.0870762,-0.50377315,-0.02429989,0.10792994,0.46490642,0.054239903,-0.7491534,-0.034805275
0.5824824,0.087010175,-0.19179438,1.1257585,1.314863,-0.20266527,-0.31991673,-0.08717409,-3.0872352,0.5599732,-0.299142,0.53145105,0.7868918,0.4318493,0.0073767733,-0.027660728,-0.42954645,0.42591962,-0.03545075,0.058695413,-0.13834104,0.36784193,0.9177394,0.65536505,0.44495788,0.11885213,0.5257816,0.04264961,-0.023740968,0.63134515,0.45624444,0.92905915,2.2666805,-0.0207226,0.5572709,0.15505455,-1.3002543,-0.16436855,0.27964717,0.096352376,-0.7487299,1.0992306,0.068624884
-0.53195596,1.2291188,-1.3549179,-0.113213755,-0.16618204,-0.71529824,0.19288547,-0.06761548,-0.47087538,0.30748102,0.09149895,-0.3499364,-0.30227673,-1.1164974,0.9538918,-0.33000273,-0.44951966,1.6523802,0.24772993,-0.86231375,0.6863356,-1.4591599,0.7217056,-0.86921,-1.2197986,-0.24170063,-0.07332329,-0.12234514,0.27828792,0.30800673,-2.8537438,0.13847665,-0.57845676,-0.16525872,0.11774713,-1.0468944,-0.021812687,-0.40468562,-0.3539595,0.4887086,0.31784227,-0.65354997,0.23992802
0.03424505,0.21494505,-0.76980805,-0.26918244,-0.91333085,-1.3163775,-0.032932412,-0.23014459,-0.0055374685,-0.03536089,-0.336903,0.53820515,-0.2999517,-0.28111574,-0.49007913,-0.50578535,0.27796707,-0.25684488,-0.045246422,-0.5049632,0.37464815,-1.0742751,0.17938039,-0.1136579,-0.049211573,0.16174267,0.5232836,-0.14113496,0.44997987,0.013775214,-0.16211309,-0.047229663,-1.2658218,-0.07926209,0.015048578,-0.31172234,-0.73245424,0.2708577,-0.7395584,0.48599398,0.14300199,-0.3854965,0.25774503
0.24497828,0.012689992,0.06847018,-0.4814137,-0.89059454,0.75977,-0.431835,0.69714236,-0.7324065,0.26606664,0.43360794,0.42474464,-1.6410974,0.013727327,0.7341542,0.03254113,-0.2011124,0.0901052,0.031062433,-0.5754449,0.06662405,0.23491523,-0.014388486,0.45043156,-0.7694939,-0.46426308,-1.5962118,0.45638007,0.108389,0.5398881,0.29437503,-0.21408674,0.81833977,-0.97917926,-0.12323495,-0.18684842,-1.5262929,-0.31032073,-0.5300056,-1.7551657,-0.37887838,0.7410842,2.0027442
0.1498294,-0.06281987,0.03452201,0.3583724,0.20986366,0.06277223,-0.47423014,0.085785955,-0.070506305,0.022814667,-0.52613217,0.1358064,0.18695189,0.1970858,-0.14782588,-0.19866793,-0.008345464,0.06928865,-0.17378,-0.037095543,-0.078327425,0.109882064,-0.09174358,-0.022593126,-0.010401989,-0.018059844,-0.28053138,0.5605199,-0.21373345,-0.10472973,0.17769678,0.02134933,0.062375735,0.0785255,0.020221196,-0.49370408,-1.0399696,0.26322863,-0.23994532,-0.1763874,0.6700029,0.12654774,-0.28624055
-0.66129017,0.5832636,-0.14173982,-0.14747736,-0.65518457,-0.06838211,0.40291247,0.24179861,-0.4401022,-0.018635595,0.12698127,0.106370054,-0.19591095,0.05103919,0.60426813,-0.77518284,-0.57597953,0.07640025,0.04798129,0.21210192,0.51000035,-0.38072142,0.8129471,-0.064363845,-2.0587282,-0.16978228,-0.47454405,0.10590302,-0.03615124,-0.6627135,-0.1705281,-0.58658206,0.07522153,-0.05113013,0.21462463,-0.63500345,0.00850372,-0.6212349,-0.1742225,0.49754092,0.132368,-1.4921378,0.27474356
-0.41044366,0.20789021,0.09042857,-0.19696748,0.18805742,0.11563443,0.015558198,-0.36652234,0.025150193,-0.30743384,-0.7037744,-0.6189202,0.1372234,0.14028306,0.32165393,0.020474818,-0.022960283,0.029605886,-0.31241363,0.09192005,-0.08365758,0.08458447,-0.107751206,-0.1666624,0.17242292,-0.24015474,-0.023199951,-0.019223513,-0.030008664,0.27642363,0.13749939,0.22237524,0.18713462,0.04306659,0.05685533,-0.61514413,0.029853322,-0.13139644,0.058233317,1.6080511,-0.10658837,-0.09016664,0.1124347
-0.43725064,0.2904174,-0.7959945,0.104314946,-0.21381934,-0.8367713,0.1654012,0.28024727,0.14652838,0.18929003,0.019479217,-0.41983825,-0.7682457,-0.17983076,0.23833288,-0.25453198,0.20628928,-1.212996,0.5745914,-1.0079352,0.1274804,0.70751107,-0.33576784,-1.6478399,0.3035316,0.3144754,0.30958512,0.04503851,0.44561356,0.53021896,-0.6540235,0.24079852,-1.2922566,0.18927035,-0.16628712,-0.076399885,0.08170752,-0.027274096,-0.47137552,-0.99519837,0.11937534,-0.21900325,-0.55998325
0.086482085,0.68203676,-0.26006508,0.7028976,0.2926834,-0.2541169,1.0831316,0.37602198,0.10624907,-0.3473785,1.7092246,-3.0938017,-0.5246758,0.0265833,-0.3323848,-0.5240443,0.011169129,0.0012882346,-0.5903083,-0.1616557,0.9025962,0.32242113,-0.99572873,-0.60461134,-0.92234457,0.009339152,-1.1612343,-1.2871937,-0.048091814,-0.80387235,0.12716614,-0.16793714,0.15074995,-0.50864244,1.9578478,0.23725241,-2.8034804,-0.65756446,-0.094054885,-0.68750614,-0.7251306,-0.4089597,0.14425772
0.5668878,0.62254316,0.5043347,-0.57713705,0.3841359,0.076934285,0.027412707,0.24828893,-0.07487451,1.1432054,-0.51450604,-0.29322714,-0.1331957,0.89755344,0.23853971,-0.43608037,-0.13661367,-1.1658373,1.4723996,0.24676014,-0.6120643,0.8848286,0.10036119,0.95100963,-0.31487694,1.1466378,-0.60779077,0.17158477,0.008845013,-0.40397283,-0.35213134,0.17109159,1.1579096,0.47065675,-0.81026506,1.0015076,-1.0448551,-0.8965958,0.24327472,-1.3312469,-0.518494,0.9140533,-0.44023386
0.5232734,0.051913276,-0.042574562,0.33355194,-0.35375458,0.105814464,0.1518008,-0.38540593,0.050083034,-0.31368652,1.19972,-0.18153219,-0.6926225,-0.105775036,0.14886838,0.042575456,0.22330989,-0.10888539,0.01775649,0.20133062,-0.46167636,-0.04445542,0.019135436,0.034698356,-0.71172,-0.14478867,-0.35273358,-0.38453117,0.23087023,-0.3914982,0.18526195,0.012853125,0.1891182,-0.20928276,0.69998866,0.8429144,-0.65866554,-0.79021364,-0.13732865,0.37816632,-0.69877523,-0.38193527,2.154027
