0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.031798262,-1.2690247,-1.5809469,-0.2016514,0.26425302,-1.3684694,-0.71741855,-1.2081598,0.18099388,0.44626614,-0.4404052,-1.5331272,-0.81025606,-1.1810179,0.31181166,1.5178137,0.4278888,0.4545808,-0.68695706,-0.5513732,0.28137398,-1.6240075,-0.2220379,-0.90713316,0.33004823,-1.071728,-0.7500906,-0.17250033,-1.4547162,-0.87499833,-2.566007,0.8665531,0.08786163
-1.1370493,0.27808627,0.9799856,-0.14070328,-0.039875936,-1.8743622,0.52857864,0.06456046,-0.14550033,-0.60974437,-0.16041972,1.4847836,0.15536812,0.47721273,0.25641364,0.35304043,-0.015618753,-0.2327172,-0.531185,-0.5537581,-0.6980354,0.58122545,-0.007767453,-0.14430667,-0.27073833,0.039146457,0.4757301,0.080739036,-2.1057682,0.2064996,-0.5473449,0.58602595,0.74532557
-0.14797057,-0.07735186,1.9146539,-0.26697984,0.38102877,0.0023899423,0.23973402,0.18495221,-1.0232526,0.7208461,0.23756072,-0.020697584,-0.7930555,0.2164594,-0.04101128,0.21212249,0.18246503,1.2818455,-0.01609695,-0.27171838,0.88203216,-0.083038695,0.53098184,-0.22760667,0.08500185,-0.68651146,-1.7278591,0.404744,1.0249206,0.26702935,-1.2221696,1.1491665,0.21583368
-0.24721284,0.1135496,0.08377345,0.4033093,0.22874747,-0.005942744,0.4009375,-0.92497903,-0.07600569,0.17239581,0.016894817,-0.008880036,0.3732104,-0.15512812,0.24103384,-0.08125499,-0.372154,0.13959213,0.20856471,-0.18780911,-0.21658146,-0.34809205,-0.37319133,0.3136484,0.05387653,-0.27917686,0.12305637,-0.46999586,0.343213,-0.7154005,-0.3927366,0.68840253,0.040494993
-0.3122062,-0.25610515,0.6384201,-0.15719052,0.60700107,0.47122395,0.12079823,-0.47121915,-0.94622904,0.7254488,0.06337177,-0.2710646,0.25884303,-0.1135204,0.20106152,-0.4327665,-0.19382095,0.3094801,-0.75676346,-0.21056716,0.16596763,-0.6551196,-0.82551795,0.6633487,0.06962425,-0.32201716,-0.8259811,-0.2207028,0.0790367,0.10747149,0.2325806,-0.50689614,-0.33315596
-1.0993435,-0.06273425,-0.10191673,-0.26978472,0.2346505,0.18466456,0.16166589,0.34635806,-0.45188698,1.4893911,-0.4238059,-0.3122595,-0.63304734,-0.20725965,-0.48112297,-0.05857025,0.13672356,0.24585573,-0.03527629,-0.092624314,-0.9647986,0.09447193,0.24075317,-0.5534917,0.06744082,-0.23137282,-1.5988858,0.39687672,0.84539366,0.6026166,0.015345304,0.28665978,0.11267654
-0.093798235,0.04416368,-0.38898644,-0.4669775,0.77773345,-0.3996925,0.78226346,-0.5762428,-0.043669693,-0.33770874,-0.015002472,-0.45004094,-0.48168656,0.8230373,-0.179038,-0.5790884,-0.71080184,0.5068828,1.4635559,-0.09766093,0.36851585,0.08125583,0.3779396,-1.265736,0.052391943,-0.048083514,-0.8569081,-0.20228563,0.34568495,-1.7150325,-0.10294908,0.16301697,0.6284748
1.1130252,0.104312494,0.42269716,-0.0072222026,1.2439702,-0.8870259,-0.22265014,-0.63401914,-0.6272322,0.5844536,-0.31446314,0.66423094,1.3039691,0.64378166,0.71100515,-0.13166969,0.18878567,-0.2343201,0.48640898,-0.08373045,0.91068786,0.015646659,0.13960622,1.1680955,0.3331459,-0.91612196,-0.41677597,-0.16735522,-0.6414467,-0.2850482,1.1080328,0.34837395,0.65261906
-0.5327064,-0.9007545,0.13905165,-2.377854,-0.06479525,-0.08075224,-0.034381647,-0.2743962,1.0741681,-0.21024175,-0.40008536,0.22144878,-0.43764699,1.4127622,0.06433999,0.3399452,0.50648785,-0.0010040113,-0.9098533,0.63121855,0.22612907,1.196859,1.4987484,0.06261509,0.06418638,-0.325864,0.34038728,0.75803375,-0.35916907,1.286898,0.12696113,0.6756926,-0.0970555
0.14375737,-0.05090271,-1.0363455,-0.17866832,-0.40053314,-0.47001076,-0.49916923,-0.36629048,-0.55358994,1.9848529,-0.1899958,-0.9448355,0.845609,0.64192045,1.0189118,0.41110227,0.83681947,0.077577874,-0.062106837,-0.25580475,0.65138686,0.1901474,-0.41329262,-0.5807676,0.18930769,-0.76893514,0.49818492,0.038551304,-0.36483938,0.5406213,-0.6639827,0.5125079,-0.14555742
