0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.6964804,-0.35124862,-0.03202887,0.031367052,0.7500709,-0.59170073,-0.2491005,-2.473629,1.178005,-1.5810815,1.9882084,-0.07975246,-0.13619795,-1.8954105,0.44088492,-0.88761157,-0.3629047,-1.1618663,0.3057487,0.61004114,-0.38379103,1.5481315,-0.26041892,0.33109573,0.26084194,0.29878753,-1.1871783,1.1391127,0.30804396,-0.91819966,-0.08343019,-0.9338546,-2.950573,-0.31418625,-0.26256263,-1.0196711,-0.05709092,-0.5144749,-0.33336836,1.3090719,-0.29925218,-0.81332994,-0.40999547,1.111133,-0.26352328,-0.78601825,-1.66672,0.07554205,0.45552206
0.6139683,-1.7159312,-1.7416798,0.5565274,-0.18174928,2.0441093,-0.30201358,4.599402,-0.05943484,-0.007932484,-6.9154716,0.081163004,2.1297352,-2.626279,1.3771203,-1.0500613,0.21329205,-0.18397646,0.629624,-0.44370022,-1.7664174,-1.2418662,0.31186816,-3.8714674,-3.7995918,-0.44920254,-6.575498,-2.672985,-1.9581453,1.0782458,-4.0099316,-0.9601167,-3.0781305,0.41434607,-0.74225384,1.4894471,-0.11325989,-1.2687602,-3.3593366,-0.81953317,-0.5874958,-0.82589954,1.5548462,0.31152964,0.42884853,0.9113843,1.2077717,0.7846079,0.012015603
0.11045051,3.4458199,0.35191035,0.15343566,0.3747737,-2.223188,0.3653483,2.4509614,-0.23652264,-0.5204101,3.3444457,0.009335417,-1.3369304,1.4748938,-5.8867836,-6.250036,-0.23413217,0.24870759,-1.657071,1.1809856,0.3223459,0.13144998,-7.3419104,-1.8872762,-2.1762035,-0.19041552,1.9524262,1.3168118,-1.5914868,-0.39103636,0.8906091,1.3719006,1.3953015,-0.5373629,1.3827047,1.8591895,1.1716065,-0.26258639,-0.291444,-0.23985119,-12.608382,-2.7310963,-4.143994,2.551533,-0.013316529,-0.7251076,-0.6415021,1.9449089,2.0029383
-1.5596474,-0.83920276,-0.015039939,-0.18632655,0.0669197,2.1051204,0.72809494,2.0422566,0.9291201,-2.2730398,3.5235445,-0.15989149,-0.8060202,-1.1858563,0.75730866,0.43915248,0.38495615,-0.3753066,0.4511059,1.5246435,1.2168005,-1.0891187,0.63284117,1.6363914,-1.2481962,0.95549995,-2.3375986,0.70598406,-0.74800056,-1.5001014,0.76242363,-0.13308327,1.4947382,-2.0573432,1.1797265,0.7378866,-1.4985226,1.908948,0.06774515,-0.15975474,-0.54984623,-2.5716763,-2.5723047,-1.2554396,0.2089223,0.8300419,-0.72839314,-0.5326372,-3.3480635
1.6070079,1.4169676,-3.111296,-0.28562433,-0.06943137,0.62135893,-5.364445,-7.4281344,0.3831135,-0.1798429,-0.4028061,0.23250663,4.1056805,-2.791642,-4.4159245,-1.0027702,-1.1219997,-0.06728678,0.83539677,-0.25662595,1.282749,-1.4399912,-0.54721415,0.8800167,-3.7802618,-3.8385346,1.752313,-6.357978,-0.35415533,-1.6431987,0.82140654,-1.3449218,1.4816375,0.94593704,-1.5047946,-1.7338825,-4.606288,-5.2397165,0.65876323,-2.639066,0.6548372,0.59188646,-7.326754,9.3871,0.50620127,1.186078,-0.9747731,-2.138268,1.6875001
-0.37123796,-1.7835912,1.5015897,-0.026950369,-0.159168,0.34178358,1.0181291,-2.5553122,1.2384762,-1.2285302,2.0139668,-0.05114674,0.13398324,0.08158652,0.3005131,0.28696886,-3.4718466,-0.16670647,-2.459922,-0.9056257,0.94036484,-0.05166402,0.16251194,0.2637577,-4.1940365,0.28616583,-0.47684824,-0.014909048,0.18048243,-0.8668587,-0.31305325,-0.4791238,0.15933432,-2.387828,1.5906959,-2.2435439,-0.48947906,-3.1215017,1.8217635,-0.092884324,-0.43266052,-1.036173,-4.076354,-9.462939,0.03337456,1.1294438,-0.5416285,-1.0727848,0.100078814
-0.20501308,0.3224456,-0.53271425,-0.19366255,-0.34022617,0.5701622,-0.21828106,3.721662,-0.3180709,0.41329578,0.5013945,0.08061899,0.5875308,-0.5325692,0.1247287,1.0331291,-0.09271079,-0.74000704,0.2032268,0.09785032,0.76395345,0.4829589,-0.66583836,1.2067802,0.11498744,-0.04145572,-1.0022508,0.20042497,-0.43159282,0.23875621,-0.489753,-1.7061675,-0.9802881,-1.7049698,-0.46873963,0.026490025,0.21391162,0.48914513,-0.27254635,-0.6864761,0.5946511,-0.92249805,0.012133674,0.32965255,-2.6642306,0.112626456,-0.44454017,-0.75432384,-0.21710233
0.43108615,-0.53691393,0.7685171,-0.018328916,0.43314072,1.4081904,0.46987745,0.55862653,-0.89913726,0.04896378,1.1488451,0.23085552,-1.6139811,-1.0746981,-0.6859007,1.4179163,1.4389641,0.13357209,0.60231555,0.23967761,-0.9239891,0.24576762,-0.9017832,0.08511827,0.036914535,-0.70776576,0.719225,-0.36870798,-1.3709551,-2.0355248,0.31347513,-1.3090652,-2.8583229,-0.875594,-0.95912504,-1.4358866,0.44180262,0.52345484,-0.13060498,-1.3146042,0.07590762,-0.22043467,0.47671497,0.04193572,-0.16658528,1.7359976,-0.46256018,-1.2416148,0.9858086
-0.3941118,1.7340658,-1.0652997,-0.03852277,0.062519275,0.28255817,0.4489672,4.7312307,-0.12248317,0.35161996,-0.9944246,0.08474126,-0.31002352,-0.65651745,-6.002919,-3.9632978,1.1597276,-0.13029908,-0.011840963,-0.008415392,1.1138372,-0.07866208,-2.208095,-0.025639351,-1.9393542,0.1022529,-4.4925833,1.122937,0.27226037,-4.022431,0.053540055,-2.812151,0.92324865,-1.8824862,-5.9320188,1.6979592,-1.4710311,1.2911899,0.2545034,-2.3308125,-0.42952126,0.04359076,1.6684005,10.777409,-0.59741765,-0.5176452,-0.9469457,0.76760155,0.41121814
0.79232603,1.461807,0.18861277,-0.35879943,-0.09513105,-2.8354034,-0.17923383,-3.3749793,2.0694103,-0.36651427,0.26592362,0.019132111,2.727163,-0.76278955,-0.05874524,-3.7570322,-1.465741,0.1072903,-4.750074,-0.17503028,-2.049209,0.48474574,-5.2834253,1.499554,-1.2282711,-0.014439039,-0.26507655,-0.5729635,-1.5205204,-2.5647645,-0.70479554,1.9395852,-4.921623,-4.15533,0.76303136,-0.38808975,0.29947773,-1.288752,-0.014481651,-0.4102927,1.0703132,-1.8553548,-2.6139145,-1.546414,-0.09542062,-1.0522903,-0.43908334,-0.13480364,0.05262456
