0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
-0.6569779,1.4927869,-0.011514728,1.6667045,1.0990121,-2.3857584,-0.7448124,2.4898849,-0.68439496,-0.23145005,-0.13694023,-0.1437304,0.08008475,-0.82078487,7.54767,-0.4380793,-1.9001716,-0.84321564,0.39481956,-4.0239434,0.14618637,-0.48875627,0.16239159,-0.94092643,-0.4292294,0.22342654,0.08834518,-0.09305529,0.017067343,-0.14615537,-0.124735795,0.94179815,-2.6835308,-0.047116287,0.098510966,0.32588488,6.473116,1.8137088,-0.010317215,0.5525076,2.7688339,0.08199604,-1.7635968,-0.06958774,0.8050405,0.054893613,-1.7642576,-0.55672264,-0.0036682556,-0.1822895,-0.46239355,-0.5004187,0.49039513,-3.5625548,-0.9889341,1.4820021,-2.856691,-0.34979373,-3.727115,2.0739594,1.8114414,-0.052104097,-0.48846087
-1.3977927,-8.1617155,-2.6179965,0.3944402,1.092432,0.3947799,-1.1731951,2.200357,-0.32164738,-3.5290444,-0.01908297,-3.2450488,-0.29254365,-0.060411517,5.196004,-4.80162,-1.3353442,-5.7007966,0.1515306,-0.76637495,-0.5673531,-7.988741,-0.49198005,-1.8502566,1.2596776,-2.4407341,-2.1394217,-7.3219543,-0.5985332,2.2834094,0.48277852,0.7715716,0.4479211,-0.1794075,0.53923345,0.11267578,1.1449637,-3.4593549,-6.5341096,-3.8385358,0.07348871,-3.7436829,1.70691,-0.30787408,-6.2684336,-0.537757,-0.11761941,-3.8662755,2.3447883,0.985396,-6.8761196,-1.1723758,0.25270423,-0.55772173,-0.59417593,-0.30104578,1.0599412,0.48449725,1.4080411,2.8240354,-1.5821732,2.5494616,0.19512083
0.16579741,0.71948016,-0.57230246,-4.3276014,-3.0161612,-0.41127712,-1.171789,-0.5600103,0.78631663,-3.2615085,0.18389934,-0.35000578,0.16501057,-0.26153046,3.3898344,0.39887497,-2.9449344,0.94061166,-0.21442342,-1.679187,-0.89440167,-0.7793487,-1.2004193,-0.61620086,2.5314898,0.20719963,0.55353254,-0.49853593,-0.767805,-5.6649117,0.010735861,-3.9116023,0.0014806819,-0.42979673,-1.0276219,-0.26562777,1.4100431,3.4780166,0.6828038,-0.29064968,0.42464933,-1.1009448,-2.837558,1.4777689,-0.08715084,-0.56029665,0.22266293,0.16885497,0.81951165,0.94943357,0.35849985,-4.576114,-0.5799269,0.48389035,-1.369623,-1.4451823,1.6500089,0.64931154,0.5971021,0.23910953,1.0695086,1.7962228,1.0057133
-1.0517665,1.6931107,-0.9933962,-2.1692626,-0.25243858,0.71115255,0.7589272,0.49280962,0.74327123,1.2663773,0.025166238,-0.30180427,0.45610514,-1.0160495,-2.2332234,-0.43309027,3.1763577,1.0439852,0.29339886,-1.0599238,-0.8603068,1.5226299,0.5191338,0.6853132,2.2978992,0.396104,0.50988746,1.6430004,1.0692791,-1.7258221,0.75807685,0.015023543,-2.0677497,-0.0586278,-0.5799558,0.5287967,-4.8796635,1.470566,0.872217,-0.6438362,-9.997158,-0.64524925,-5.655906,0.33503428,-2.0855057,-0.3021026,-2.1803617,0.44607195,-0.37396017,-6.656082,1.7847774,-9.934294,1.0727417,-8.755265,-2.2772453,1.7307682,-0.6163795,0.33517233,0.94841343,0.4576994,-0.62422967,-17.680384,-3.3381388
-0.5458198,-1.5554754,-0.5426785,-0.8765517,0.30121619,0.09950527,-1.2096092,-0.12820213,-9.084141,0.6862624,-0.61575836,-0.847334,0.18199699,0.06925166,-5.5214734,-0.75121456,-1.4013551,-1.9298607,-0.8222656,-0.45475006,-0.34461394,-0.11395938,-0.33267346,-0.34837645,-5.6428275,-0.95138913,0.0036819081,-2.3645883,0.5749596,0.94005466,-2.0604062,-1.0224231,-0.6864912,0.16644073,0.26281887,-0.52362084,4.3420606,-2.2446785,-0.848065,0.35531452,-10.286824,0.79281497,-1.8593946,1.0180364,-2.9474695,0.39364204,-11.480531,0.06746833,0.0917638,-3.1169798,-5.982396,0.49034923,-1.5987371,-2.1687706,-1.4048349,0.0024196724,-0.14061412,-1.0111951,-1.717,-2.4346244,-0.13353066,-2.8273692,1.0582713
0.20684777,0.8280973,-3.1217394,-0.47424057,0.2973778,-0.43114328,0.653532,-2.565108,0.43291193,-1.1683103,-0.32379997,-1.0095644,-0.32892433,-0.77166116,0.79405576,-0.5309167,1.4808923,-0.71072584,-0.111027025,-0.6932346,-0.6951213,-0.17447166,0.30921865,0.55850106,-0.10923202,-1.2009342,-1.1350262,-0.80478984,-1.49129,-13.528505,-0.90393096,0.0778442,0.021617742,-0.027675375,-4.6575065,-0.24321425,-4.1404324,-2.0045133,-1.3158925,0.36622804,0.92891973,0.40109283,-2.418615,-7.6298738,-2.2257888,-0.1031088,-1.0019846,0.12943333,-0.02169097,1.8490232,-0.26029864,-2.0255191,0.6745354,-1.733892,-1.3871903,-2.4717922,0.089480266,-0.23640038,1.2883712,1.3435528,-0.5220887,-1.2222238,-4.5934615
-0.018888265,-0.06331414,-11.562326,-2.2740264,-0.37979195,0.83183044,0.37078372,3.1259964,-1.8766623,0.68592626,0.48341793,0.20420115,0.70482683,-0.8706383,-7.5318394,0.4967033,0.15748659,0.35133553,0.19781587,-0.37272257,0.049089722,-3.7360337,-1.2927747,-0.8571951,0.33981648,-0.52896464,-2.1323943,0.24643548,-1.8677912,0.28689933,0.29634684,0.7453273,-0.69536734,-0.817415,0.376482,-0.01724362,-0.1164167,0.18086377,-1.0425513,0.62972176,4.1033607,0.3440775,-0.396257,-1.0428021,0.019484041,-4.6671267,-8.662966,0.2384528,0.15592396,-0.8819518,-0.053547658,-0.37499422,0.13496499,-0.016945511,0.41523522,-0.2965774,0.6537351,0.10571592,0.18715236,0.14905772,-0.1528241,0.06345461,-1.8769419
-0.14074114,-0.67074674,-2.3391728,-0.92401797,-0.50553226,-0.8894134,-0.4057222,-0.07602828,0.31514165,0.80776525,-0.028983952,-0.12932809,-0.019240266,-0.79087216,0.10642747,-0.33834127,-0.15156235,-0.7357196,0.2627933,0.07073978,0.05569349,-2.0948849,-1.4612176,-0.23156653,-0.11635162,0.011762507,-6.856769,-0.34416234,0.23224023,-1.3535464,-0.21706489,-0.619691,0.046516716,0.016869193,-0.4132092,-1.3787808,1.9797633,0.5735815,0.08445181,-0.30722633,-1.4150803,0.24515131,-4.029218,-0.14017281,-1.0142914,0.059540987,-0.92123526,-0.28997687,-0.33978128,0.47977012,-0.2673398,0.056733605,-0.34044003,-1.1079865,-2.9055457,0.41674554,1.3481501,-0.17155828,-2.0155005,-0.27970198,0.35745412,-4.569856,-0.03175698
-0.6486357,0.3350651,-1.1680372,-0.09965388,0.72861665,-0.011966508,-0.28173766,7.7080545,-0.3648294,0.048805572,0.07426456,-2.2098796,-0.25071648,0.13649409,4.409568,-0.46502987,-4.599742,-8.015418,-1.24684,-4.5831175,0.32754338,-0.20094648,-0.12771963,0.5782128,1.0091821,-0.6622825,-6.056067,0.66878355,-0.100833,-0.5054689,-0.4104809,3.09671,-0.31036678,-0.10974812,-4.695282,-1.2818109,-4.385104,2.8154018,-2.012455,-0.7030079,-0.5474158,1.1444587,0.24853002,-0.118744425,0.10650624,-0.06474591,-1.7536966,0.050816167,-4.8296127,-9.262371,-0.9166366,0.08535471,-2.5519948,0.43573147,-0.9359816,-1.355447,-6.602755,-0.05284137,-8.066629,-0.5763347,0.1713188,0.36860716,0.19894874
0.022278322,-3.594175,0.081112534,-3.5141363,0.14006785,0.6946755,0.775007,0.4097703,-6.5218964,1.990436,0.013049279,-6.154485,-0.16828772,-0.23665169,8.447471,-0.22556569,-12.6992,1.4111143,-1.6420574,-3.290443,0.24157842,2.2972424,-5.080705,0.35524598,0.8995096,0.56644803,-2.209854,1.623918,0.53214145,1.6446769,0.45642796,-6.1613636,-6.774826,0.07922976,-2.095403,-0.65391463,2.6568491,-2.850808,0.12766746,0.27259633,0.2838352,-0.4699475,-1.1344683,-1.8678461,-0.9470937,-0.156502,-1.6701976,0.48260152,-1.8595692,-3.0707679,0.08081216,-18.044615,-2.8744786,-4.3539715,-0.65121037,1.4635569,1.1410468,-0.14294016,0.21056378,-11.340744,-0.71659374,-0.42245772,-2.1420443
