0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.1662815,0.027697457,0.01926073,-0.2653804,-3.7891958,6.272843,7.644295,4.378334,-6.1017175,-10.121173,-1.4839762,1.4839095,-0.8524062,-0.2812586,1.0537821,0.3457846,0.3550205,0.47309116,-0.34293666,-2.0491333,-0.044907693,0.03340967,-0.0026808248,-0.010860049
0.33018112,-2.3716815,0.94919723,1.464232,-3.599361,-2.475284,1.7670497,9.268913,1.2018852,-3.2493773,0.47273293,-4.6832643,2.9915278,-0.11262184,-0.86661345,0.69501454,1.8810434,-0.14599732,-1.4144617,-1.368934,-1.0019003,-2.309281,0.010545327,0.017104799
-4.1502185,1.82288,-2.3390129,0.907179,-0.61032224,-1.7242357,6.7442846,-7.0960793,1.9178548,2.8937871,-1.1527193,-2.8357706,3.0355122,1.7112107,1.425517,1.0170739,-0.03831554,-0.46335956,-1.1095407,-1.3445503,-2.4999576,-3.4902878,0.0030538044,-0.011086591
1.7535996,-2.3590348,-0.202324,0.7910072,-0.3116274,-0.36200672,1.1532245,-0.18410982,1.8016069,-1.5846198,0.2209156,0.79338604,-3.1344945,-2.1735108,-3.0742803,0.84988534,-0.45808756,0.3991687,1.8682857,0.16905212,0.2893042,-1.3701476,0.35013562,-8.913139
-0.013242634,1.1143887,-0.21392718,0.019396733,-0.43829378,0.39254874,-0.91279113,-0.65679306,0.59040403,0.41488308,0.23798276,1.035759,-0.050713137,0.036270864,0.012254733,0.24792045,-0.14893244,-0.17977281,0.011017836,-0.27103,-0.0003389754,0.38856974,-17.358948,-0.006965784
-2.8558896,0.44423014,-0.05179416,-0.5967,1.6094077,-1.9346308,-2.9895298,1.4867641,-1.4266224,3.0550933,-3.7397022,3.1111462,2.329212,2.5587683,2.202581,1.4404283,1.3054554,-0.9145518,-2.9121542,-1.8268148,-2.7273927,-3.3240356,0.011207955,0.01038258
1.4608858,-1.4341764,-0.14568315,-0.08526558,0.35584658,4.79207,-3.8254519,1.6043812,-0.38314196,-1.9633001,-0.27319002,-1.6082966,-1.9116446,0.06806324,-1.7825365,0.02288085,6.874578e-05,-2.4256177,0.8269356,1.127621,1.3076928,0.14289981,0.0057434444,0.0002515825
-1.6890427,1.61068,-0.7842211,0.44168285,-1.2655174,-5.2713723,6.484494,-1.0680844,0.4899284,2.0505452,-4.545934,0.074203774,-2.9494526,-1.3236637,0.8622816,0.14387889,-0.39619616,1.7910678,1.5241395,-2.3968563,1.5694567,-1.7812607,0.008419521,-0.020726202
0.45706797,-1.0621781,0.19111128,-1.3435664,4.4534187,1.8623726,1.3604697,-10.883803,-2.4853857,1.9437028,2.7521563,2.153534,-0.21799721,-1.5825857,-0.8217455,0.9242404,-2.2849271,0.80011165,-0.2943348,1.977936,-0.38756952,-0.21846923,0.0034698893,0.014881888
-0.011603292,0.34958985,-0.30538228,0.19505087,-6.0491056,10.326017,-3.2133088,-3.8030736,1.6179256,-3.3163006,3.500575,0.5087303,-0.4984755,-0.24630383,-0.49382082,1.9334525,2.1701624,0.6364146,-1.129659,-3.7710319,0.6064548,0.6923717,0.043077208,-0.016002525
