0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.61700654,0.7516819,-1.4763162,0.20706984,0.15627563,-0.37288722,-0.3111241,0.119843505,-0.0010081741,-0.14742509,-0.29300153,0.08472527,0.2686047,0.0037431463
1.851448,0.009109774,0.08320348,-0.22184911,0.7210085,-0.6328975,-0.27366796,0.18948668,-0.051200252,-0.043102,-0.13270819,-0.073728524,0.025442166,0.006310791
-0.0839538,0.23515305,0.0860997,-1.7866778,0.71118027,0.10961757,-0.50775486,1.1407706,-1.3096278,-0.6728701,-0.2617663,0.9725227,-0.5202047,-0.0077735754
1.1584457,-1.0072502,-0.41210154,-0.09037582,0.051164266,-0.3720372,0.014142653,-0.09037701,0.10695874,-0.0921671,0.15144771,0.017893396,0.3585894,-0.014080619
-0.12715986,-2.8302586,-0.24839213,-0.020614354,-0.24473429,0.3650567,0.007135238,0.13405915,0.11696549,0.13999382,-0.3812371,-0.0269216,0.13068311,-3.398082e-05
-1.3801297,0.06819581,-0.32497007,0.12143614,-0.48337904,0.40371194,1.2561179,0.39774945,0.1735257,0.6557267,-0.2985448,-0.64097685,0.06848831,0.042031486
-3.8170228,2.3011389,-0.5348824,-0.67297614,-0.049770344,1.1362202,-0.59904665,1.651066,-0.12664677,-0.3492102,-0.8709626,-0.3678247,0.02496027,-0.009702852
-2.917228,-0.13194841,-2.0984774,0.024279159,0.16292866,0.08428088,-0.34269765,-0.40599436,-0.18368235,-0.1555753,-0.02392193,0.7280561,-0.038897064,0.003098831
-0.119702786,0.6922073,-5.2081537,0.026448302,0.069932766,0.023652231,0.26616937,0.01273636,0.92353934,0.12696694,-0.1993907,-0.77535415,-0.034869287,-0.0034764642
0.0015104451,-0.0025565359,0.00011229837,0.008281672,0.03851238,-0.052169252,0.0119566135,0.039461583,0.0672996,-0.0027684963,-0.15455289,0.028169781,0.008566216,-1.9643112
0.18895249,-0.6027365,-2.0630908,-0.10152885,1.1400492,0.49898174,-1.5358783,0.13325877,0.93504167,0.10817806,-0.8616245,-0.46610692,0.10461112,0.002516728
0.40465218,-1.462676,0.5379213,-0.18481329,0.092313245,0.8308732,-0.665902,-1.3803893,-0.0712949,0.075740956,0.98182124,-0.5427501,0.115215406,0.0014039306
-2.2289448,2.3533063,-0.13581033,-0.3362223,0.08347988,0.8066826,-0.29685566,1.0386281,0.020465624,0.011260347,-0.3088033,-0.44326887,0.082923815,0.0291213
-1.4092435,1.9816453,-0.31872344,-0.3571149,-0.5132361,0.1719119,0.4104174,0.23128703,-0.48126537,0.38355157,-0.13452585,-0.2943103,0.06994667,-0.022138184
0.22597158,0.59355783,-0.117591485,-0.58882916,0.5992109,0.047882624,-0.38230392,3.2364194,-0.3742794,-0.21337126,-1.1478503,-1.6409606,0.03871743,-0.013353316
-0.010276693,-0.021302938,0.041537475,0.013154794,0.11377936,0.028347347,-0.117080525,-0.05934054,0.21815819,-0.03055162,-0.15257257,-0.06335269,-4.945431,-0.026470082
-0.4930037,0.2689151,-0.26386103,0.2158115,0.374913,-0.050833497,-0.14756563,-1.5246603,-0.5687641,0.32353172,0.4759225,0.66742593,-0.060653195,-0.0066304104
-1.0944026,-3.2762246,1.3805475,-1.2295207,1.130815,-0.35909384,-0.023863073,0.99821997,-0.016191395,-0.29612148,-0.57805735,-0.09160153,-0.040360898,0.023502804
0.06468714,0.070255585,-0.025023643,-0.09238489,-1.2297949,0.22683433,1.0707744,1.8509504,-0.5573132,-0.591438,-1.1171188,-1.5718994,0.018380525,0.011354675
-0.23558047,-0.97856367,0.68325174,0.21600676,0.49219856,-1.2726578,-0.6871321,-0.40009627,-0.31852362,-0.025637666,0.25745454,0.52824855,0.18840031,-0.02113328
-0.14791667,0.6670304,-0.7829531,0.32349053,-1.853691,1.3242961,-0.0024528373,-0.82756776,-0.080902055,0.1363801,0.62650424,0.31360766,0.025159536,0.046556257
0.16868299,0.36472037,-0.07883206,-0.06897739,-0.05398894,0.13828073,-0.034410805,0.047958553,0.09657995,0.14558513,-0.21610294,0.01280546,-4.686411,-0.025621077
-1.5119323,0.570077,-0.49360088,0.86633843,-0.43798813,1.0064471,-0.95976967,1.0914199,-0.19444907,-0.40895212,-0.012658291,-0.60947627,0.083073266,-0.013944036
0.0037087312,0.37500098,-0.57578063,0.6259463,0.013400223,-1.492858,0.31413302,-2.524388,-0.9785248,0.01809369,0.15500109,0.5357839,-0.05125805,-0.0010885567
0.24669369,0.25491914,-0.21345524,-1.4588009,-1.438169,-0.5177374,-0.45195037,1.3109579,-0.49040154,0.122626245,-0.6431142,-0.89592415,0.09956669,0.008194192
0.13277407,0.11219857,-0.74403733,0.07638151,-0.06246441,-0.07615487,0.021619745,0.22201043,0.05317124,-0.13466494,-0.28826565,0.12536573,-4.028159,-0.008260972
0.33471644,1.4149815,0.19866724,0.031716157,0.04374277,0.013420139,-0.029934274,0.029674748,-0.18703511,0.29587564,0.10064303,-0.22550607,0.4348572,-0.003359291
0.136961,-0.41242808,-5.6685395,0.08378684,-0.3409611,0.9263034,-0.70713866,-0.2439929,-0.43716457,0.01879753,0.35441485,0.3981766,0.12753189,-0.004456358
0.1778989,-0.54655755,-1.4554275,-1.2469897,-0.3862734,2.647675,-0.6435651,-0.6256462,0.1874002,-0.031050326,0.2907389,0.5053747,0.088952154,-0.0044897967
-3.4501665,3.1346304,0.042231105,-0.004471448,0.112035215,-0.23662783,0.05488632,-0.4591421,0.17371799,0.3769924,0.086051665,-0.13716692,0.25091892,-0.00966443
0.17834175,-1.3782011,-0.520013,-1.3648487,2.0675948,-0.34706166,-1.3316784,-0.33296907,0.22130035,0.065592594,-0.40023646,0.38074547,0.30700347,-0.0121087665
0.30258238,-0.2120251,0.13031091,-0.20586514,0.026029862,0.04775029,0.42305234,-0.08166379,-0.31425363,-0.14423491,0.55574995,-0.3052549,-2.5699801,-0.011707695
-0.9370522,0.7474376,0.0027634802,-0.024374822,-0.24651068,0.41552183,-0.12633434,-0.7124637,0.7137454,-0.24483792,0.37547058,-0.03168722,-2.4784133,-0.019486964
-2.459335,2.627073,0.045761067,0.19002387,0.0014993005,-0.27306405,0.024449777,-0.3722181,0.21983801,-0.1094892,-0.29662442,0.5025742,-0.25087368,0.001305498
1.2116705,0.7164669,0.18216477,-0.43914935,-0.581906,-0.19137454,1.1971451,1.0047733,0.07596138,0.03644003,0.09880179,-0.6252106,0.0075677363,-0.0038592934
-0.248503,-1.220773,-0.035998262,0.44943807,-0.88670665,0.02240098,0.9411343,0.38039488,-0.37538478,0.6384351,-0.2936948,-0.16615377,0.18545894,-0.0031255484
-0.36583477,0.07341785,0.35992387,-1.4014819,0.6159335,0.53181493,-0.10491293,0.37965864,0.120952,0.20349744,-0.24454191,-0.59460425,0.2637017,0.03380929
0.50835097,-2.1729832,1.2453215,0.51527,0.1516363,0.8847751,0.0325183,0.60534483,0.15103562,-0.2705387,0.41779196,-0.17989989,0.0060861255,0.06365368
0.061608557,0.10904595,-0.014196761,0.055785175,-0.044772808,-0.08484765,0.022720817,-0.10238361,-0.082735725,0.0509878,0.19546907,-0.06492379,-4.581758,0.08005837
-0.5536954,0.79380137,-0.80206287,-1.7899289,2.2103584,-0.43384472,0.04657183,-0.9263612,0.33278733,0.6114053,0.5453018,-0.1518498,-0.01402695,-0.0006112899
0.107215725,-0.137044,0.04081807,-0.043663863,-0.08525805,0.009918528,0.13755615,0.44635546,-0.25106823,-0.19118026,0.21831489,-0.088466,-4.45683,-0.028207114
2.1908832,0.24574003,-0.23987728,0.24092105,-0.13378358,0.4087987,-0.116531655,-0.2938362,0.099896125,0.32448313,-0.2867915,0.06154716,-0.005075659,0.00687223
0.0016873069,0.026778102,0.008476247,0.13092391,0.12559737,-0.29559067,-0.09323121,-0.44501156,-0.1437762,0.5003028,0.20014982,-0.19644468,-3.5532467,-0.01891742
0.29003638,-0.98236006,-0.073039144,0.040750686,0.048662186,-0.20368144,0.05398184,-1.2702569,-1.0693239,0.3159851,1.6703743,0.22403549,1.1649894,-0.06171365
-0.45755515,1.4604553,-0.05637394,-0.046508785,-0.0017324488,0.59711987,-1.0750879,-0.21390866,-0.42736024,-0.054898612,0.46727252,0.44769657,0.048250634,0.01093325
