0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0.053556047,-0.34235325,-0.106582746,-0.1028251,-0.32402095,-0.03517538,-0.08175536,-0.7012325,0.16130364,0.14936498,-0.47383615,-1.0604416,0.10102195,0.15395984,0.321435,-0.043814447,-0.26418188,0.1847509,0.10646318,-0.17755006,0.0978932,0.07809226,-0.42877743,-1.0718027,-0.039320562,0.16087735,0.46989876,-0.14321326,0.5708846,-0.062095072,-0.09546281,-0.30986974,0.09846977,0.13110726,-0.18928652,0.5274285,0.21210581,-0.47601855,-0.117100246,-0.94420224,-0.051164538,0.5437192,-0.3751457,0.1733347,-0.20217824,0.0900318,0.0480279,0.26790252,0.053870063,0.15548551,-0.31742617,0.21021126,0.35265544
-0.055834044,-0.095989734,-0.73309374,1.8870643,-1.2609249,1.8088405,0.4417732,1.0453992,-0.024705477,0.08314872,-0.29334387,-2.4594643,0.50746095,-0.6753292,0.44366926,-1.0638235,-0.93477064,-0.36710885,-0.27889636,0.5885959,1.5424858,-0.06083344,0.61909485,0.700579,-0.49279436,1.2430449,-1.5365444,-3.5792263,-0.25586158,0.53940576,0.71815974,-1.4110755,-0.6030626,-3.6694994,-0.2215393,0.41872662,-1.4825907,1.1971508,-0.3924871,0.28283,-0.1288686,-1.3642324,0.52946746,-0.16336454,1.0260956,1.1353639,-0.46270892,-0.1236951,-0.24008861,-0.031405177,-0.96929044,0.080573425,-0.019029588
-0.20116651,-0.2867358,0.06970977,-0.20761144,-0.41813233,0.54405314,-0.019982353,-0.29606575,0.54653233,0.5403349,0.41510102,-0.26264402,0.025494657,-0.66527617,0.13613215,-0.16862434,-0.17128249,-0.26655063,0.21872936,-0.14350411,0.0914989,-0.15337674,0.2746114,0.8456159,-0.13626987,0.11518666,0.33658865,0.045032166,0.94164884,-0.1045735,0.41458085,-0.8497743,-0.17113334,0.012504839,-0.4379699,-0.0010105943,0.44045192,0.8376366,-0.080306865,-0.052883018,-0.13108158,-2.1304958,-0.03685162,0.19683473,0.19716907,0.4909032,-0.7893295,0.06681379,-0.24330069,-0.028790466,-0.37266156,0.11015689,-0.5315816
0.40733323,0.33505756,-0.50085735,0.19113262,0.9093339,0.52077204,0.17193763,1.6975175,-0.27478197,-0.66596127,0.028928647,0.55461746,-0.8730608,-0.07787545,0.118534915,-0.08626561,0.9677463,0.061402705,0.013848119,-0.13648167,-0.56952125,0.22293627,-0.22708209,1.379352,-0.0053171893,-0.057288904,-1.2762402,0.5032758,0.20059432,0.099594586,-3.1113033,0.8663326,-3.366449,-0.101775765,0.9494196,-0.33795422,-0.8881653,-0.52531683,0.061796233,-0.20037599,0.25155297,2.2633677,-1.4910866,1.9002934,0.79970676,-1.6384693,0.5201302,0.19493441,-0.23704532,-0.51515067,-0.67405957,-0.1734035,-1.0659847
-1.6964328,-0.40753943,-2.5874636,1.8242123,-0.9206068,-0.3368549,-2.6485798,2.7208374,-2.17507,-2.785119,0.7347165,0.1835723,-0.63858855,-0.14717174,0.18427949,-4.4970465,0.5754135,-0.18506181,0.6707819,-0.41450435,-0.57120425,-3.2424412,-0.01891218,0.5574792,-3.1744316,1.1394081,0.53547454,-4.787259,-0.27383506,-0.74486053,1.7792742,-0.2713915,-3.3066857,-3.116915,-0.029718395,0.45617852,0.27866268,-0.06702975,-2.5895367,-0.34062645,-0.28569326,-0.08027439,0.12578249,0.10433974,0.36352453,-6.805008,-0.32454515,0.00963443,0.23466676,0.82409227,-0.7412577,0.5988706,-0.044607535
1.777395,0.038464766,0.87319714,-0.63288105,0.17420162,-2.525093,-1.2300732,0.7145523,-0.47962758,-1.1826985,0.30258787,0.39376554,1.4433786,1.7102662,0.4440484,-1.2736429,-0.753837,-0.3609538,0.81062466,-0.58285457,0.520965,-10.139665,0.3952685,-2.1056962,-0.02530682,-0.05189711,1.6802692,0.9221851,-0.88526595,0.23311721,-1.9828244,0.7608046,-0.530144,-0.47928482,-5.341589,-2.1880286,-1.7253611,1.8161932,-0.28475964,1.9284182,-0.12681167,-6.620757,0.8770568,0.7098588,-2.0234575,-2.672351,-4.417859,-0.45029172,0.16460457,-0.35398033,-4.022964,0.18864952,-1.2513727
-0.8780224,-0.3828959,0.60143805,0.33877602,-0.34260705,0.79541844,0.38425332,0.12566964,0.3785575,-0.45453346,0.6896539,0.27255177,-0.6797427,-2.2336252,-0.53871024,-0.6653223,-0.093480654,-0.47137716,-0.52529997,-2.0961802,0.21879756,1.6693339,1.1376,-2.7614174,0.12122676,-0.1602152,1.7260695,0.93745244,1.1802096,-0.3509008,1.488719,1.7189935,-0.59469104,-0.32895932,0.18053813,0.043921407,0.030585106,1.6351606,0.35980526,1.177456,0.8948985,-4.7933917,-0.012909704,2.8428988,-0.5182098,-0.111438915,-3.8395698,-0.39738905,-0.55392903,-0.09009262,0.2607582,0.08895239,0.1908853
0.5225357,-0.0051942114,0.9402392,2.1206982,0.21090071,-1.003733,-0.57320696,0.54162765,1.4406325,0.058573827,0.40224838,-1.3391776,-0.16994081,0.62947387,0.32365397,0.9894726,-0.9413051,0.05566316,-0.55147,0.4293903,-0.21258579,-1.1148422,-2.370125,1.6140114,-0.59555113,-0.7239107,0.9041966,-0.18958902,-0.09438637,0.24773544,1.9798872,0.28849828,-5.807923,-0.19888708,0.30730528,-1.1647141,-4.9976554,-0.89922714,0.8192928,-0.31651306,-0.15034768,1.470833,0.27487203,-0.37685442,4.0137563,2.5170357,0.0155085055,-0.5632,-0.4425793,0.49594292,1.8504004,-0.13000585,0.054804396
-0.07060314,0.109838106,-0.116719134,-0.07719925,-0.13259077,-0.00930497,-0.045230724,0.05356345,0.13081938,-0.5754753,1.0531299,-0.0598083,-0.06087646,-1.1836156,-0.0097602755,0.06585684,0.18846652,-0.06085109,0.18922114,-0.31902826,0.011285448,-0.44285116,0.058847502,-0.28968835,-0.10203833,0.06390907,0.1970517,-0.07243073,-0.17090258,0.04960059,-0.15789036,0.23279522,-1.20662,0.07055958,0.25248253,0.07392917,0.08039032,0.4457344,0.04732954,0.25122884,-0.12723257,-0.5978401,0.50778866,-0.33663017,0.11937798,0.098898046,0.36261842,0.7574899,-0.11513823,0.056768134,-0.3371626,-0.008697517,-0.42785797
-0.530457,-0.10777309,-0.14337616,0.3714957,-0.24096453,-1.6396737,-0.19557913,-0.7998178,0.14433275,-1.3862854,0.09823333,-0.13715424,0.5098811,0.74900675,0.14811128,-0.15387908,-0.2813152,0.17050974,-1.6103231,0.13290931,-0.19237463,0.6644069,0.48769683,1.5811592,-0.24031557,0.46969208,-1.1514343,0.2578618,1.416113,-0.12405485,0.1171291,0.46978095,0.14397998,0.12476116,-0.70180035,0.1519161,-0.76841956,0.32996413,-0.11784069,-0.7297011,-0.10322469,-1.0495784,0.44161415,1.1123999,2.3141606,-2.204283,-1.5799998,0.05462465,0.098689295,-0.44863632,1.1193751,-0.15948439,0.17876258
