0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0.074515864,0.61095184,0.0136574535,-0.04676888,0.36994842,-0.83217996,-1.8976777,0.3178694,0.1529054,-0.039385792,0.36543143,-1.3348862,-0.023251522,-0.16593026,-4.861036,-1.0917091,1.2099135,-1.4902205,-0.8623353,-1.7807598,0.2409506,-0.82342535,-0.013422012,-0.29097635,-1.3668656,0.33100304,0.007941051,0.5632766,0.6872305,-0.14220989,-2.0173948,-1.0437124,-1.7797719,0.42441925,-0.46929848,1.0256903,-0.05646811,0.6543858,0.20642546,0.67565215,1.1713048,0.32055604,-0.54779094,0.4195216
0.7042952,-0.9968512,-0.0010091275,-0.6191864,0.19128059,0.02905082,0.09095926,-0.5502987,-0.69894737,0.015411464,0.13252328,0.32273087,0.025729012,0.15959312,0.9139466,0.28201696,-0.14021671,1.3757426,0.9109088,-0.9783245,0.15852065,-0.3527696,-0.27582762,0.4136701,-0.4441849,-0.5335638,-0.009569164,0.5675678,-0.026927598,0.4519861,0.46855757,-0.8589802,-0.07826811,-0.20571707,1.101053,0.07065311,-0.68851846,-0.66293794,0.080225,-1.9344405,-0.6534678,0.2633505,-0.1610223,0.1628862
1.1670344,-0.65427744,-0.006817813,0.61065567,-0.91763467,-0.28791013,-2.5562308,-0.1520956,-0.5744659,-0.009012345,0.5581019,-1.7096022,-0.0029677898,0.5206948,-3.1986332,-0.38151965,0.34330803,0.7328157,0.68369275,-7.361889,0.7326705,0.047282416,-0.29113948,-0.23872258,0.619498,-0.17748886,0.007996322,-0.16134325,-0.1804975,-0.20677339,1.307127,-0.10010969,1.1081234,-0.0874022,0.24220788,-0.89415675,-0.062867954,0.88458455,-0.34100005,-2.0829966,-0.58649784,-1.4167165,-2.0404058,0.30598384
-0.035398193,-0.010324109,-0.010180218,-0.1361594,0.043261696,-0.0046461746,0.00050967565,-0.0070842816,-3.5879722e-05,0.046625506,-0.10342616,-0.0016038081,0.035348583,-0.0634143,0.020686101,-0.035621118,0.0016043759,0.08572601,-0.002413372,0.0017745681,-0.010604149,-0.047331937,0.010330129,0.0958585,-0.037687622,0.0543791,0.009590792,-0.08247928,0.026935901,0.029639378,0.024751067,0.028639259,-0.0595123,-0.001966941,-0.0023300187,-0.016996482,0.065713115,0.024220223,0.013278797,-0.0061820527,0.0855683,-0.015902191,0.047577742,-0.003899453
0.016507167,-0.00892445,-0.0034566058,0.044796694,0.049525015,0.0017780855,0.0045504337,-0.06830178,0.028113676,0.0010847226,0.0744069,0.007877574,-0.02822489,-0.053650178,0.0028112861,0.027927026,-0.025624737,-0.038199704,-0.006155683,0.00038671427,0.05290907,0.005670822,-0.024011973,-0.005655248,0.017327601,-0.03561676,-0.02952518,-0.044583015,-0.035220735,0.05015019,0.013872845,-0.017233364,0.038423277,-0.0075440067,0.014217948,-0.00060694525,-0.03935158,0.118596725,-0.08725106,0.0016367758,-0.006701585,0.006347594,0.03039685,-0.08728237
0.0020650728,0.009209396,0.018655611,-0.041634794,-0.072663896,-0.037935797,0.002720376,-0.050259233,-0.01642376,0.015306216,0.07207742,0.03569964,-0.023144878,0.027882189,-0.021119261,0.0027900354,-0.02691096,-0.059162993,0.021875864,0.017097529,-0.05046252,-0.029301189,-0.061609153,0.028065583,0.072753906,0.022693241,0.008828473,-0.091232724,-0.022073608,-0.018125113,0.03996253,-0.0122072715,0.061755832,-0.0006339643,0.024766916,-0.010858218,0.034560356,-0.002801606,-0.05369133,0.009543307,-0.02604493,-0.027376993,0.06774955,0.08320203
0.33281016,0.04272887,0.0037866314,0.5686347,0.08199502,-0.32627907,0.5775894,-0.04754457,-0.0050613885,-0.009462272,0.13088928,-0.13332531,-0.0042634355,-0.10675762,-0.5698961,-0.38988516,0.024762569,0.15937674,-0.14802614,-0.34593925,0.47435957,0.04135546,-0.16620609,-0.021128032,0.7578947,0.022188246,0.0045526135,-0.01623293,-0.064680435,-0.34463087,0.7940738,-0.27223203,-0.38992366,0.18651873,0.05112592,-0.18173507,-0.037740886,0.16881104,-0.037576105,-0.067576796,0.47593203,0.04973876,-0.03352135,0.09328047
-0.0112993615,-0.034739163,0.026526516,-0.00409055,0.06605116,-0.008105837,-0.0025711241,-0.04615931,-0.021390082,-0.01617797,0.0074436627,-0.03781565,0.0070762206,-0.099692486,-0.01897523,-0.024052978,0.031932708,0.028222067,0.03611076,-0.008264913,0.026257213,0.016003462,0.012157174,-0.024692316,-0.15667182,-0.081604674,0.049477905,0.029928217,-0.011276054,0.0007907079,-0.020195484,0.016247187,-0.0030061798,0.00021717057,-0.045633323,0.017406758,0.070490815,-0.01655425,-0.03324444,-0.010308498,0.07389768,0.004511047,0.06409128,-0.0772309
0.025182541,0.025462998,0.020332241,-0.06554205,-0.07120361,-0.04911613,-0.0013835928,4.7167014e-06,-0.021725098,0.029599575,-0.017460281,0.025807524,-0.013053285,-0.09003858,-0.0032738606,-0.011252873,-0.009043787,-0.090505525,-0.0986501,0.03853796,0.010143097,-0.036877804,-0.035313547,0.098898135,0.07459145,0.09421896,-0.035457164,-0.19388503,0.058937564,0.11298214,0.00045513868,-0.011416144,-0.03966806,0.0030472062,0.0414547,-0.028250095,0.06057808,0.096809275,-0.087434664,0.01242416,-0.15758988,-0.009010552,0.0047088666,0.008465118
0.5334925,0.4966937,-0.0024441332,0.31114674,0.25775376,-0.24483703,-0.6551437,0.11996642,-0.37200427,-0.005574296,-0.1803978,-0.8425214,0.0029499298,0.13907196,0.38595363,-0.26598838,-0.40099472,0.43289804,0.18126641,0.18796888,0.28463987,0.48603916,-0.21511258,0.11552075,0.28253365,0.047535516,-0.00042812445,0.7836357,0.503672,0.0632845,0.048753917,-0.14476098,1.6569321,-1.0999877,-0.21916555,-0.554922,-0.10032966,0.79216766,0.02829804,-0.11876083,0.072108604,-0.21768863,-0.37180257,-0.083171576
