mean,scale
966.9063051146385,968.3485580790577
966.9787477954145,968.2698040739082
285.1624046679941,539.515958037226
25.180833794681217,33.34768183015133
16.537027547744447,22.81856214379823
14.225036317413474,20.485413795921964
12.964717727406702,19.291223372310974
12.116578662485813,18.501976059758213
11.483993103695923,17.885740952981823
10.979834250891852,17.358559368798247
10.56405586958321,16.922305323189335
10.202300381943111,16.51511155325973
0.053058133682216534,0.10207345466782265
0.06291070547313006,0.11467883701634325
0.07025367762032125,0.1251209020095168
0.0765020241182655,0.13453556621070853
0.08219365504368051,0.14355197258227123
0.08763463894225457,0.1526504874953754
0.09297686384149445,0.16188509466410447
0.09840088890280228,0.17171742205863538
0.1039485712882295,0.18224674046810352
0.10974657389401862,0.19371580557580265
967.60639329806,1118.5445259916087
3.701833333333333e-08,4.47069428088911e-08
